Country,Variety,AvgPrice,AvgPoints,Tastings
Italy,Nerello Mascalese,41 ,90 ,117 
France,Merlot,25 ,87 ,115 
New Zealand,Chardonnay,31 ,89 ,109 
Spain,Viura,15 ,85 ,107 
United States,Moscato,14 ,86 ,106 
Argentina,Bonarda,17 ,87 ,105 
Argentina,Pinot Noir,23 ,86 ,105 
Israel,Cabernet Sauvignon,34 ,89 ,105 
United States,Primitivo,28 ,87 ,104 
Italy,Sagrantino,53 ,90 ,100 
Spain,Tinto Fino,64 ,90 ,100 
United States,Grüner Veltliner,22 ,88 ,100 
Austria,Pinot Noir,37 ,90 ,99 
Italy,Rosato,17 ,87 ,98 
United States,Champagne Blend,34 ,88 ,98 
Spain,Sherry,36 ,90 ,97 
South Africa,Red Blend,27 ,89 ,93 
South Africa,Shiraz,28 ,88 ,93 
Austria,Red Blend,35 ,90 ,92 
Argentina,Bordeaux-style Red Blend,42 ,90 ,89 
Austria,St. Laurent,31 ,90 ,88 
South Africa,Bordeaux-style Red Blend,52 ,90 ,88 
Italy,Falanghina,21 ,87 ,87 
United States,Sémillon,25 ,89 ,84 
France,Malbec-Merlot,19 ,89 ,82 
Spain,Godello,23 ,87 ,81 
Austria,Austrian white blend,33 ,90 ,79 
Italy,Negroamaro,18 ,87 ,79 
Argentina,Sauvignon Blanc,15 ,84 ,78 
Portugal,Arinto,16 ,87 ,77 
Australia,Grenache,45 ,90 ,76 
Israel,Red Blend,40 ,89 ,76 
Italy,Ribolla Gialla,28 ,88 ,76 
Spain,Chardonnay,20 ,85 ,74 
Italy,Lagrein,33 ,89 ,73 
Italy,Rosé,16 ,86 ,73 
Germany,Spätburgunder,61 ,90 ,72 
Greece,White Blend,20 ,87 ,72 
Italy,Arneis,21 ,87 ,71 
Italy,Cortese,22 ,86 ,71 
Spain,Rosado,13 ,85 ,71 
Austria,White Blend,31 ,90 ,70 
Greece,Red Blend,28 ,87 ,68 
United States,Fumé Blanc,23 ,88 ,68 
Australia,Red Blend,29 ,88 ,66 
France,Viognier,56 ,89 ,66 
United States,Cabernet Sauvignon-Syrah,45 ,90 ,66 
Portugal,Portuguese Sparkling,18 ,86 ,65 
Argentina,Cabernet Franc,45 ,89 ,64 
France,Provence red blend,30 ,90 ,64 
Austria,Chardonnay,35 ,90 ,63 
Greece,Agiorgitiko,24 ,87 ,63 
Austria,Austrian Red Blend,35 ,90 ,62 
Austria,Rosé,15 ,88 ,62 
New Zealand,Pinot Gris,21 ,88 ,62 
United States,Port,39 ,88 ,60 
Argentina,Merlot,18 ,85 ,59 
France,Tannat,36 ,92 ,59 
United States,Nebbiolo,36 ,88 ,58 
Argentina,Syrah,17 ,86 ,57 
France,Cabernet Sauvignon,18 ,85 ,57 
New Zealand,Riesling,20 ,88 ,57 
Argentina,Malbec-Cabernet Sauvignon,41 ,88 ,56 
Germany,Pinot Noir,31 ,89 ,55 
Canada,Riesling,35 ,89 ,54 
Italy,Pecorino,20 ,87 ,54 
Austria,Sparkling Blend,30 ,89 ,53 
Spain,Cabernet Sauvignon,32 ,87 ,53 
Uruguay,Tannat,30 ,87 ,53 
Australia,Sauvignon Blanc,17 ,87 ,52 
South Africa,Syrah,37 ,90 ,52 
France,Alsace white blend,30 ,90 ,51 
France,Gros and Petit Manseng,21 ,90 ,51 
South Africa,Merlot,19 ,87 ,51 
Spain,Tempranillo-Cabernet Sauvignon,50 ,86 ,51 
United States,Tannat,37 ,88 ,51 
Italy,Lambrusco,16 ,85 ,50 
United States,Dolcetto,27 ,87 ,50 
France,Muscat,31 ,89 ,49 
Hungary,Furmint,48 ,90 ,49 
Italy,Sauvignon Blanc,23 ,87 ,49 
Portugal,Syrah,31 ,89 ,49 
United States,Carmenère,34 ,88 ,48 
Chile,Carignan,24 ,88 ,47 
England,Sparkling Blend,51 ,91 ,47 
Italy,Trebbiano,24 ,87 ,47 
United States,Shiraz,26 ,86 ,47 
Italy,Gewürztraminer,31 ,88 ,46 
United States,Vermentino,22 ,88 ,46 
New Zealand,Syrah,42 ,90 ,45 
Chile,Rosé,13 ,84 ,44 
Greece,Assyrtico,24 ,88 ,43 
Italy,Prugnolo Gentile,48 ,89 ,43 
Portugal,Alicante Bouschet,32 ,90 ,43 
Chile,Cabernet Sauvignon-Carmenère,23 ,87 ,42 
United States,Bordeaux-style White Blend,30 ,88 ,42 
Israel,Bordeaux-style Red Blend,50 ,89 ,41 
Israel,Chardonnay,24 ,87 ,41 
France,Sylvaner,22 ,88 ,40 
South Africa,White Blend,22 ,88 ,40 
United States,Vidal Blanc,25 ,86 ,40 
Israel,Merlot,25 ,87 ,39 
Italy,Frappato,23 ,88 ,39 
Portugal,Encruzado,24 ,90 ,39 
United States,Marsanne,28 ,88 ,39 
Argentina,Rosé,13 ,84 ,38 
Australia,Shiraz-Viognier,53 ,90 ,38 
Chile,Cabernet Franc,24 ,87 ,38 
United States,Semillon-Sauvignon Blanc,33 ,89 ,38 
Chile,Bordeaux-style Red Blend,52 ,90 ,37 
Germany,Silvaner,47 ,89 ,37 
Germany,Gewürztraminer,16 ,88 ,37 
Italy,Carricante,40 ,90 ,37 
Spain,Garnacha Blanca,18 ,86 ,37 
United States,Sauvignon Blanc-Semillon,31 ,89 ,37 
United States,Cabernet Sauvignon-Merlot,37 ,88 ,37 
France,Petit Manseng,33 ,92 ,36 
France,Provence white blend,24 ,88 ,36 
Greece,Moschofilero,15 ,88 ,36 
Portugal,Fernão Pires,21 ,87 ,36 
Spain,Moscatel,33 ,88 ,36 
United States,Muscat Canelli,21 ,88 ,36 
Austria,Gelber Muskateller,26 ,89 ,35 
Spain,Pedro Ximénez,36 ,91 ,35 
Spain,Syrah,31 ,89 ,35 
Portugal,Castelão,17 ,87 ,34 
Portugal,Verdelho,24 ,87 ,34 
United States,Syrah-Grenache,36 ,89 ,34 
Australia,Viognier,23 ,88 ,33 
Australia,Sparkling Blend,21 ,87 ,33 
Austria,Weissburgunder,26 ,90 ,33 
Greece,Xinomavro,23 ,87 ,33 
Italy,Insolia,17 ,87 ,33 
Italy,Müller-Thurgau,22 ,87 ,33 
Spain,Sauvignon Blanc,14 ,84 ,33 
United States,Claret,50 ,88 ,33 
United States,Muscat,19 ,88 ,33 
Argentina,White Blend,21 ,85 ,32 
Austria,Pinot Blanc,26 ,89 ,32 
Georgia,Saperavi,21 ,89 ,32 
Australia,Shiraz-Cabernet Sauvignon,21 ,88 ,31 
France,Tannat-Cabernet,21 ,90 ,31 
Italy,Zibibbo,37 ,90 ,31 
Italy,Cannonau,25 ,88 ,31 
United States,Cinsault,28 ,90 ,31 
United States,Lemberger,19 ,87 ,31 
Australia,Rosé,19 ,87 ,30 
Italy,Inzolia,15 ,86 ,30 
South Africa,Pinot Noir,40 ,89 ,30 
Spain,Graciano,53 ,88 ,30 
Spain,Tempranillo-Garnacha,11 ,85 ,30 
United States,Carignane,27 ,89 ,30 
Argentina,Sparkling Blend,18 ,85 ,29 
Australia,Bordeaux-style Red Blend,67 ,89 ,29 
Italy,Catarratto,20 ,87 ,29 
Portugal,Baga,36 ,90 ,29 
Portugal,Loureiro,13 ,87 ,29 
Australia,Pinot Grigio,14 ,86 ,28 
Chile,Cabernet Blend,50 ,89 ,28 
France,Chenin Blanc-Chardonnay,17 ,88 ,28 
Italy,Cabernet Franc,86 ,91 ,28 
