group,France,Italy,Portugal,Spain,United States
Bordeaux-style Red Blend,89,90,93,87,90
Cabernet Sauvignon,85,89,88,87,89
Chardonnay,89,88,88,85,88
Nebbiolo,,90,,,88
Pinot Noir,90,87,88,87,90
Red Blend,88,89,89,88,88
Rosé,87,86,85,85,87
Sauvignon Blanc,88,87,87,84,87
Syrah,90,89,89,89,89
Zinfandel,,,,,88
